Date,Distance walking / running(mi),Flights climbed(count),Step count(count)
8/1/2021,2.366,20,6019
8/2/2021,2.24,5,5174
8/3/2021,0.259,5,591
8/4/2021,0.41,5,959
8/5/2021,0.941,6,2274
8/6/2021,1.229,3,3046
8/7/2021,1.943,4,4910
8/8/2021,0.75,8,1788
8/9/2021,0.706,8,1673
8/10/2021,1.531,8,3742
8/11/2021,0.75,5,1803
8/12/2021,1.34,6,3264
8/13/2021,1.794,4,3985
8/14/2021,0.269,6,605
8/15/2021,1.606,10,4090
8/16/2021,6.044,16,14525
8/17/2021,8.932,50,20770
8/18/2021,0.53,6,1230
8/19/2021,0.841,12,1890
8/20/2021,1.291,7,3215
8/21/2021,0.41,4,937
8/22/2021,0.837,15,1875
8/23/2021,0.701,10,1634
8/24/2021,1.608,7,3672
8/25/2021,0.857,10,1944
8/26/2021,0.351,3,802
8/27/2021,0.916,7,2179
8/28/2021,1.588,13,4089
8/29/2021,6.369,12,12781
8/30/2021,4.571,6,10528
8/31/2021,2.401,5,5501
9/1/2021,3.932,9,8827
9/2/2021,3.253,7,7297
9/3/2021,2.891,6,6559
9/4/2021,1.945,7,4601
9/5/2021,1.569,5,3575
9/6/2021,2.256,3,5481
9/7/2021,2.054,5,4338
9/8/2021,3.551,10,7687
9/9/2021,4.423,10,9342
9/10/2021,5.795,10,12250
9/11/2021,1.478,6,3337
9/12/2021,1.48,9,3444
9/13/2021,2.049,7,4891
9/14/2021,2.735,5,6820
9/15/2021,2.178,9,4894
9/16/2021,2.826,8,6219
9/17/2021,1.89,6,4325
9/18/2021,3.456,6,7933
9/19/2021,1.801,6,4326
9/20/2021,1.912,5,4451
9/21/2021,2.691,8,5952
9/22/2021,2.376,8,5478
9/23/2021,2.13,4,4822
9/24/2021,2.701,6,6574
9/25/2021,1.803,3,3819
9/26/2021,6.034,6,13171
9/27/2021,2.055,6,4718
